o,code,railway_line,date_opened,lon,lat
Edgecliff,ECL,Eastern Suburbs,23/06/1979,151.2367353,-33.8797328
Edmondson Park,EDP,East Hills,8/02/2015,150.8586465,-33.9693902
Emu Plains,EPS,Main Western,18/8/1868,150.6718053,-33.7455986
Engadine,EGD,Illawarra,1/10/1920,151.0147784,-34.0678037
Epping,EPG,Main Northern,17/9/1886,151.082121,-33.7727449
Erskineville,EKV,Illawarra,15/10/1884,151.1855234,-33.9000826
Fairfield,FFL,Old Main South,26/9/1856,150.9572535,-33.872245
Flemington,FMG,Main Suburban,26/02/1905,151.0703883,-33.8650036
Glenfield,GFD,Main South,6/9/1869,150.8932517,-33.9721917
Gordon,GDN,North Shore,1/1/1890,151.1544776,-33.7561101
Granville,GAV,Main Suburban,2/7/1860,151.0119027,-33.8327926
Green Square,GQE,Airport,21/05/2000,151.2024366,-33.906269
Guildford,GUD,Old Main South,1/4/1876,150.9843831,-33.8542423
Gymea,GYM,Cronulla,16/12/1939,151.0853555,-34.0348123
Harris Park,HPK,Main Western,25/02/1905,151.0076587,-33.8233073
Heathcote,HTC,Illawarra,9/3/1886,151.0083324,-34.0879188
Holsworthy,HOL,East Hills,21/12/1987,150.9564824,-33.9632023
Homebush,HSH,Main Suburban,26/9/1855,151.0861296,-33.8666811
Hornsby,HBY,Main Northern,17/9/1886,151.0984468,-33.7032647
Hurlstone Park,HRL,Bankstown,1/2/1895,151.1322417,-33.9103361
